ID,SMILES
S1214,CC(O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)C1=C(C)C(=NC(=N1)C(CC(N)=O)NCC(N)C(N)=O)N)C(OC2OC(CO)C(O)C(O)C2OC3OC(CO)C(O)C(OC(N)=O)C3O)C4=C[NH]C=N4)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C.O[S]([O-])(=O)=O
S1218,NC1=C2N=C[N](C3OC(CO)C(O)C3F)C2=NC(=N1)Cl
S1221,CN(C)N=NC1=C(N=C[NH]1)C(N)=O
S1222,Cl.CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
S1223,Cl.COC1=C2C(=O)C3=C(C(=C4CC(O)(CC(OC5CC(N)C(O)C(C)O5)C4=C3O)C(=O)CO)O)C(=O)C2=CC=C1
S1225,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(OC4OC5COC(C)OC5C(O)C4O)C6=C2C=C7OCOC7=C6
S1227,Cl.OC1=CC=C(C=C1)C2=C(C(=O)C3=CC=C(OCCN4CCCCC4)C=C3)C5=C(S2)C=C(O)C=C5
S1229,NC1=NC(=NC2=C1N=C[N]2C3OC(CO[P](O)(O)=O)C(O)C3O)F
S1231,Cl.CCC1(O)C(=O)OCC2=C1C=C3N(CC4=C3N=C5C=CC(=C(CN(C)C)C5=C4)O)C2=O
S1233,COC1=C(O)C=C2CCC3C(CCC4(C)C(O)CCC34)C2=C1
S1235,N#CC1=CC=C(C=C1)C([N]2C=NC=N2)C3=CC=C(C=C3)C#N
S1237,CN1N=NC2=C(N=C[N]2C1=O)C(N)=O
S1238,CC/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)/C3=CC=C(OCCN(C)C)C=C3.OC(=O)CC(O)(CC(O)=O)C(O)=O
S1241,CCC1(O)CC2CN(CCC3=C([NH]C4=C3C=CC=C4)C(C2)(C(=O)OC)C5=CC6=C(C=C5OC)N(C=O)C7C(O)(C(OC(C)=O)C8(CC)C=CCN9CCC67C89)C(=O)OC)C1.O[S](O)(=O)=O
S1243,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1
S1245,Cl.Cl.CN1CCC2=C(C1)C3=C(C=CC(=C3)C)[N]2CCC4=CC=C(C)N=C4
