Ligand,Affinity,RMSD Ligand,RMSD Receptor,H_bond,D_bond
S3843_out_10,-7.9,1.754,6.16,5,23
S3847_out_1,-8.7,0.0,0.0,0,22
S3847_out_2,-8.1,5.072,7.115,0,28
S3847_out_3,-8.0,5.064,7.361,0,31
S3847_out_4,-8.0,4.755,8.154,0,24
S3847_out_5,-7.8,2.179,8.5,1,14
S3847_out_6,-7.8,5.001,6.832,2,17
S3847_out_7,-7.8,4.297,7.168,0,20
S3847_out_8,-7.8,5.347,9.026,1,19
S3847_out_9,-7.8,4.282,6.295,1,18
S3847_out_10,-7.7,1.682,2.435,0,24
S3899_out_1,-8.4,0.0,0.0,2,21
S3899_out_2,-8.2,1.082,1.212,1,16
S3899_out_3,-8.2,4.147,7.778,2,22
S3899_out_4,-8.2,2.083,8.245,2,30
S3899_out_5,-8.1,4.309,7.193,0,29
S3899_out_6,-8.0,2.674,4.537,0,18
S3899_out_7,-7.9,4.974,6.955,2,21
S3899_out_8,-7.7,2.025,7.841,1,20
S3899_out_9,-7.7,5.063,9.153,0,26
S3899_out_10,-7.7,2.439,8.099,0,16
S3901_out_1,-8.4,0.0,0.0,4,17
S3901_out_2,-8.4,4.302,10.375,2,27
S3901_out_3,-8.2,2.462,6.46,5,16
S3901_out_4,-8.1,2.951,10.567,3,19
S3901_out_5,-8.1,3.279,11.22,1,20
S3901_out_6,-8.0,1.799,2.623,2,23
S3901_out_7,-8.0,3.87,11.03,2,26
S3901_out_8,-8.0,3.099,10.897,3,20
S3901_out_9,-7.9,3.966,10.853,5,19
S3901_out_10,-7.8,2.482,6.669,2,25
S3914_out_1,-9.6,0.0,0.0,1,31
S3914_out_2,-9.2,2.742,4.104,4,21
S3914_out_3,-9.1,0.836,1.145,6,27
S3914_out_4,-9.0,2.378,4.029,1,22
S3914_out_5,-8.9,2.21,4.929,2,27
S3914_out_6,-8.8,2.265,3.651,3,25
S3914_out_7,-8.7,2.397,3.616,4,24
S3914_out_8,-8.6,2.563,4.904,4,14
S3914_out_9,-8.5,1.933,2.436,2,24
S3914_out_10,-8.5,5.069,10.986,4,17
S3919_out_1,-8.1,0.0,0.0,7,24
S3919_out_2,-8.0,1.455,2.409,2,23
S3919_out_3,-7.7,3.561,10.541,10,32
S3919_out_4,-7.7,3.652,11.127,3,36
S3919_out_5,-7.6,3.681,10.964,3,39
S3919_out_6,-7.6,3.617,7.272,8,29
S3919_out_7,-7.6,6.557,13.046,5,22
S3919_out_8,-7.6,3.644,8.137,8,26
S3919_out_9,-7.6,7.648,12.515,11,25
S3919_out_10,-7.6,4.703,10.202,7,19
S3923_out_1,-8.4,0.0,0.0,4,28
S3923_out_2,-8.4,1.537,2.221,4,27
S3923_out_3,-8.1,2.789,5.4,6,21
S3923_out_4,-7.9,2.313,5.788,5,26
S3923_out_5,-7.9,2.259,3.315,2,31
S3923_out_6,-7.8,2.9,10.027,4,23
S3923_out_7,-7.8,2.425,4.937,6,10
S3923_out_8,-7.8,1.952,5.474,3,22
S3923_out_9,-7.8,3.199,5.258,4,28
S3923_out_10,-7.8,2.338,10.529,3,27
S3924_out_1,-8.1,0.0,0.0,6,36
S3924_out_2,-8.0,5.01,12.826,7,27
S3924_out_3,-8.0,2.783,6.333,7,39
S3924_out_4,-7.9,2.879,7.919,4,32
S3924_out_5,-7.9,3.385,8.501,7,40
S3924_out_6,-7.9,5.03,9.857,5,30
S3924_out_7,-7.9,3.506,8.011,4,34
S3924_out_8,-7.8,2.956,8.827,5,31
S3924_out_9,-7.8,3.237,7.773,6,34
S3924_out_10,-7.7,6.926,13.164,10,31
S3957_out_1,-9.3,0.0,0.0,0,43
S3957_out_2,-9.2,2.939,5.662,0,34
S3957_out_3,-9.2,4.005,9.79,3,45
S3957_out_4,-9.1,3.807,5.999,0,46
S3957_out_5,-8.9,6.517,10.058,3,34
S3957_out_6,-8.9,4.64,9.96,1,47
S3957_out_7,-8.8,5.546,9.789,0,28
S3957_out_8,-8.8,4.058,8.338,0,40
S3957_out_9,-8.8,3.868,10.436,3,38
S3957_out_10,-8.8,4.489,8.991,0,39
S4269_out_1,-7.9,0.0,0.0,1,34
S4269_out_2,-7.8,3.518,8.637,0,43
S4269_out_3,-7.8,3.637,7.487,1,25
S4269_out_4,-7.7,1.515,3.792,0,34
S4269_out_5,-7.6,3.539,10.659,1,21
S4269_out_6,-7.6,3.934,9.556,1,20
S4269_out_7,-7.6,3.752,8.444,0,24
S4269_out_8,-7.6,3.489,7.645,1,19
S4269_out_9,-7.4,2.03,4.158,0,42
S4269_out_10,-7.4,6.638,9.509,0,24
S4286_out_1,-8.7,0.0,0.0,5,35
S4286_out_2,-8.7,1.098,1.56,5,39
S4286_out_3,-8.5,2.848,4.157,5,44
S4286_out_4,-8.2,1.423,2.323,5,34
S4286_out_5,-8.1,9.618,25.326,0,34
S4286_out_6,-8.1,8.672,23.918,3,38
S4286_out_7,-8.1,2.67,3.903,5,43
S4286_out_8,-8.0,8.665,23.82,2,32
S4286_out_9,-8.0,2.351,3.331,6,19
S4286_out_10,-7.9,4.165,8.976,5,40
