Ligand,Affinity,RMSD Ligand,RMSD Receptor,H_bond,D_bond
S3637_out_8,-7.4,18.912,21.6,3,30
S3637_out_9,-7.2,1.676,2.028,6,16
S3654_out_1,-8.3,0.0,0.0,6,16
S3654_out_2,-8.1,3.943,9.741,5,20
S3654_out_3,-8.0,3.885,9.389,4,23
S3654_out_4,-8.0,3.559,9.51,4,21
S3654_out_5,-7.8,2.584,8.064,7,26
S3654_out_6,-7.7,4.176,10.315,5,20
S3654_out_7,-7.1,4.687,10.533,4,15
S3654_out_8,-7.1,2.899,5.437,2,19
S3654_out_9,-7.1,15.694,19.921,2,33
S3655_out_1,-7.6,0.0,0.0,2,8
S3655_out_2,-7.2,2.216,9.515,3,13
S3655_out_3,-7.1,1.333,2.19,3,7
S3655_out_4,-6.5,2.381,9.245,1,12
S3655_out_5,-6.4,1.507,2.077,4,10
S3655_out_6,-6.4,2.944,9.249,4,20
S3655_out_7,-6.2,28.437,30.422,3,11
S3655_out_8,-6.1,16.815,20.332,2,9
S3655_out_9,-6.1,19.957,21.835,2,16
S3668_out_1,-7.7,0.0,0.0,11,19
S3668_out_2,-7.3,1.635,4.711,9,23
S3668_out_3,-7.3,3.612,6.1,9,20
S3668_out_4,-7.1,3.297,5.382,12,26
S3668_out_5,-6.9,4.666,8.299,9,20
S3668_out_6,-6.7,7.357,10.512,8,26
S3668_out_7,-6.6,4.395,8.756,11,13
S3668_out_8,-6.6,4.52,7.265,11,22
S3668_out_9,-6.5,2.334,4.059,9,15
S3672_out_1,-7.5,0.0,0.0,3,10
S3672_out_2,-7.5,2.689,4.805,3,12
S3672_out_3,-7.4,3.399,5.482,5,9
S3672_out_4,-7.3,2.776,3.946,2,13
S3672_out_5,-7.1,18.016,23.236,4,9
S3672_out_6,-7.1,2.707,3.6,4,14
S3672_out_7,-7.1,2.747,4.29,2,14
S3672_out_8,-7.0,2.693,3.856,5,15
S3672_out_9,-6.7,18.012,21.028,4,16
S3733_out_1,-7.1,0.0,0.0,10,13
S3733_out_2,-7.1,2.11,2.934,5,18
S3733_out_3,-6.7,28.722,31.352,0,19
S3733_out_4,-6.5,20.06,24.475,2,18
S3733_out_5,-6.2,28.487,30.867,4,14
S3733_out_6,-6.2,28.414,30.832,4,18
S3733_out_7,-6.2,29.181,32.158,2,7
S3733_out_8,-6.0,27.898,30.881,1,24
S3733_out_9,-5.9,28.461,31.095,1,7
S3895_out_1,-7.6,0.0,0.0,1,21
S3895_out_2,-7.2,2.461,5.179,0,13
S3895_out_3,-6.7,18.939,22.014,1,20
S3895_out_4,-6.7,1.82,3.002,1,18
S3895_out_5,-6.7,19.62,22.596,0,15
S3895_out_6,-6.5,2.67,4.626,0,16
S3895_out_7,-6.3,19.512,22.641,0,21
S3895_out_8,-6.2,2.845,6.42,0,9
S3895_out_9,-6.2,2.825,5.176,0,10
S3970_out_1,-5.9,0.0,0.0,1,12
S3970_out_2,-5.8,28.946,31.587,1,21
S3970_out_3,-5.7,31.743,34.378,2,17
S3970_out_4,-5.7,31.066,34.394,3,17
S3970_out_5,-5.7,19.482,22.151,1,8
S3970_out_6,-5.6,31.28,33.879,3,12
S3970_out_7,-5.6,18.403,21.111,1,20
S3970_out_8,-5.5,32.104,34.853,1,17
S3970_out_9,-5.4,32.885,36.025,4,22
S4009_out_1,-8.2,0.0,0.0,3,29
S4009_out_2,-7.8,1.881,2.245,3,24
S4009_out_3,-7.3,3.168,8.351,2,22
S4009_out_4,-7.1,3.874,9.7,6,21
S4009_out_5,-7.0,2.202,3.909,0,23
S4009_out_6,-6.9,13.327,16.313,5,24
S4009_out_7,-6.9,10.765,14.679,5,22
S4009_out_8,-6.7,3.504,8.671,5,15
S4009_out_9,-6.5,3.621,9.61,2,13
S4019_out_1,-8.2,0.0,0.0,1,15
S4019_out_2,-8.1,3.225,7.785,3,19
S4019_out_3,-8.0,3.024,7.648,1,17
S4019_out_4,-8.0,10.055,13.028,2,19
S4019_out_5,-7.9,1.927,2.214,2,12
S4019_out_6,-7.8,3.775,8.527,5,21
S4019_out_7,-7.6,9.983,12.572,2,17
S4019_out_8,-7.4,3.412,7.615,2,21
S4019_out_9,-7.4,10.806,12.41,1,21
S4031_out_1,-7.3,0.0,0.0,2,28
S4031_out_2,-6.8,1.991,2.888,0,26
S4031_out_3,-6.7,0.923,3.066,2,19
S4031_out_4,-6.7,2.229,3.423,2,25
S4031_out_5,-6.5,3.218,9.426,1,25
S4031_out_6,-6.5,1.907,2.572,0,18
S4031_out_7,-6.5,1.673,3.588,0,23
S4031_out_8,-6.5,28.983,30.91,3,21
S4031_out_9,-6.4,18.155,22.169,4,24
S4056_out_1,-7.1,0.0,0.0,2,12
S4056_out_2,-6.9,19.114,22.05,3,20
S4056_out_3,-6.8,29.644,31.819,1,22
S4056_out_4,-6.8,29.54,32.602,1,24
S4056_out_5,-6.8,19.384,26.165,2,21
S4056_out_6,-6.8,29.498,31.745,1,22
S4056_out_7,-6.7,18.716,20.816,1,17
S4056_out_8,-6.7,18.829,21.594,2,12
S4056_out_9,-6.6,30.293,32.839,1,25
S4148_out_1,-6.1,0.0,0.0,7,7
S4148_out_2,-6.1,13.165,15.77,1,24
S4148_out_3,-5.8,2.945,4.87,5,8
S4148_out_4,-5.7,31.405,34.659,3,4
S4148_out_5,-5.6,38.485,40.965,3,18
S4148_out_6,-5.6,2.525,5.233,5,12
S4148_out_7,-5.6,38.818,40.785,2,13
S4148_out_8,-5.6,3.209,5.152,5,4
S4148_out_9,-5.5,38.806,40.637,3,13
S4160_out_1,-6.2,0.0,0.0,3,13
S4160_out_2,-6.2,16.374,18.508,1,8
S4160_out_3,-6.1,16.137,18.339,2,12
S4160_out_4,-6.0,22.721,24.705,1,19
S4160_out_5,-5.9,23.422,25.001,1,21
S4160_out_6,-5.9,22.96,25.223,1,24
S4160_out_7,-5.9,19.526,20.493,1,8
S4160_out_8,-5.8,23.05,24.678,2,19
S4160_out_9,-5.8,29.391,30.45,3,13
S4163_out_1,-7.7,0.0,0.0,3,10
S4163_out_2,-7.2,29.211,30.904,4,8
S4163_out_3,-7.2,17.159,18.836,3,3
S4163_out_4,-6.8,16.336,18.375,3,3
S4163_out_5,-6.8,17.287,19.268,2,4
S4163_out_6,-6.7,31.472,33.672,3,13
S4163_out_7,-6.7,2.748,7.135,5,9
S4163_out_8,-6.6,17.318,21.229,4,3
S4163_out_9,-6.5,20.571,22.669,5,4
S4179_out_1,-8.1,0.0,0.0,5,10
S4179_out_2,-7.4,17.304,20.915,7,11
S4179_out_3,-7.3,18.276,21.594,3,19
S4179_out_4,-7.1,18.954,22.038,3,21
S4179_out_5,-7.0,21.536,25.78,6,14
S4179_out_6,-6.9,18.376,21.877,4,16
S4179_out_7,-6.9,32.439,33.947,3,24
S4179_out_8,-6.8,4.061,8.905,2,13
S4179_out_9,-6.7,2.572,2.866,2,10
S4216_out_1,-7.5,0.0,0.0,5,26
S4216_out_2,-7.3,21.774,25.383,1,25
S4216_out_3,-7.0,3.722,6.841,1,23
S4216_out_4,-6.9,2.422,3.118,3,18
S4216_out_5,-6.7,27.437,30.783,2,27
S4216_out_6,-6.7,1.831,2.684,2,18
S4216_out_7,-6.5,20.546,22.867,2,26
S4216_out_8,-6.5,18.086,21.238,4,13
S4216_out_9,-6.5,7.121,11.733,4,16
S4222_out_1,-8.2,0.0,0.0,6,15
S4222_out_2,-8.1,7.991,11.368,4,11
S4222_out_3,-7.9,8.696,11.907,4,15
S4222_out_4,-7.8,8.557,10.35,4,20
S4222_out_5,-7.6,7.975,10.225,2,13
S4222_out_6,-7.4,35.322,38.179,2,17
S4222_out_7,-7.2,8.517,11.11,6,16
S4222_out_8,-7.0,8.48,10.547,5,13
S4222_out_9,-7.0,22.86,25.162,4,13
S4259_out_1,-8.1,0.0,0.0,4,12
S4259_out_2,-8.1,7.18,10.242,1,24
S4259_out_3,-7.7,21.376,24.632,5,24
S4259_out_4,-7.7,8.876,12.809,0,22
S4259_out_5,-7.6,6.986,10.217,2,18
S4259_out_6,-7.6,4.516,9.616,2,12
S4259_out_7,-7.6,26.539,28.906,1,16
S4259_out_8,-7.5,7.086,10.09,1,16
S4259_out_9,-7.5,7.109,8.558,2,24
S4282_out_1,-9.1,0.0,0.0,6,29
S4282_out_2,-8.3,2.789,6.043,4,24
S4282_out_3,-8.1,3.372,6.58,2,28
S4282_out_4,-8.1,10.02,13.175,5,38
S4282_out_5,-8.1,2.252,4.706,5,24
S4282_out_6,-7.9,4.159,6.344,7,16
S4282_out_7,-7.7,2.966,6.767,4,20
S4282_out_8,-7.5,10.159,12.82,6,20
S4282_out_9,-7.3,21.053,26.286,3,25
S4286_out_1,-8.7,0.0,0.0,6,23
S4286_out_2,-8.6,0.862,1.649,7,18
S4286_out_3,-7.9,8.534,14.781,1,35
S4286_out_4,-7.8,23.698,32.666,10,20
S4286_out_5,-7.8,23.9,30.724,2,37
S4286_out_6,-7.7,27.936,32.223,4,44
S4286_out_7,-7.6,21.436,27.858,0,39
S4286_out_8,-7.6,27.69,32.141,1,35
S4286_out_9,-7.6,31.058,34.956,5,34
